what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1338540165837
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1338540165858
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1338540165874
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1338540165891
started,bundle,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.adt",1338540165891
started,bundle,com.aptana.console,3.0.0.1332428263,"com.aptana.console",1338540165908
started,bundle,com.aptana.core,3.0.4.1335336057,"com.aptana.core",1338540165910
started,bundle,com.aptana.core.epl,3.0.0.1329404579,"com.aptana.core.epl",1338540165923
started,bundle,com.aptana.core.io,3.0.3.1334782571,"com.aptana.core.io",1338540165937
started,bundle,com.aptana.editor.php.epl,3.0.0.1331845740,"com.aptana.editor.php.epl",1338540165948
started,bundle,com.aptana.filewatcher,3.0.1.1331996002,"com.aptana.filewatcher",1338540165957
started,bundle,com.aptana.git.core,3.0.0.1335200193,"com.aptana.git.core",1338540165982
started,bundle,com.aptana.git.ui,3.0.3.1332428263,"com.aptana.git.ui",1338540165994
started,bundle,com.aptana.portablegit.win32,3.0.0.1329178773,"com.aptana.portablegit.win32",1338540166031
started,bundle,com.aptana.portal.ui,3.0.0.1332438759,"com.aptana.portal.ui",1338540166040
started,bundle,com.aptana.scripting,3.0.0.1332781285,"com.aptana.scripting",1338540166056
started,bundle,com.aptana.scripting.ui,3.0.0.1331931110,"com.aptana.scripting.ui",1338540166066
started,bundle,com.aptana.syncing.core,3.0.0.1331597970,"com.aptana.syncing.core",1338540166077
started,bundle,com.aptana.syncing.ui,3.0.3.1333512862,"com.aptana.syncing.ui",1338540166091
started,bundle,com.aptana.theme,3.0.0.1332432136,"com.aptana.theme",1338540166101
started,bundle,com.aptana.ui,3.0.3.1331579821,"com.aptana.ui",1338540166111
started,bundle,com.aptana.usage,3.0.0.1335474991,"com.aptana.usage",1338540166124
started,bundle,com.python.pydev.analysis,2.5.0.2012050419,"com.python.pydev.analysis",1338540166139
started,bundle,org.python.pydev,2.5.0.2012050419,"org.python.pydev",1338540166151
started,bundle,org.python.pydev.core,2.5.0.2012050419,"org.python.pydev.core",1338540166169
started,bundle,org.python.pydev.debug,2.5.0.2012050419,"org.python.pydev.debug",1338540166179
started,bundle,org.python.pydev.red_core,2.5.0.2012050419,"org.python.pydev.red_core",1338540166188
os,sysinfo,,,"win32",1338540166189
arch,sysinfo,,,"x86_64",1338540166189
ws,sysinfo,,,"win32",1338540166189
locale,sysinfo,,,"en_NZ",1338540166189
processors,sysinfo,,,"4",1338540166190
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1338540166190
java.runtime.version,sysinfo,,,"1.7.0_04-b20",1338540166190
java.specification.name,sysinfo,,,"Java Platform API Specification",1338540166190
java.specification.vendor,sysinfo,,,"Oracle Corporation",1338540166190
java.specification.version,sysinfo,,,"1.7",1338540166190
java.vendor,sysinfo,,,"Oracle Corporation",1338540166190
java.version,sysinfo,,,"1.7.0_04",1338540166190
java.vm.info,sysinfo,,,"mixed mode",1338540166190
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1338540166190
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1338540166190
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1338540166190
java.vm.specification.version,sysinfo,,,"1.7",1338540166190
java.vm.vendor,sysinfo,,,"Oracle Corporation",1338540166190
java.vm.version,sysinfo,,,"23.0-b21",1338540166190
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1338540167295
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1338540171742
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1338540176187
started,bundle,com.aptana.index.core.ui,3.0.0.1331233538,"com.aptana.index.core.ui",1338540176408
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1338540177440
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1338540177468
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1338540177545
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1338540177567
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1338540177708
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1338540177723
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1338540178064
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1338540178132
started,bundle,com.aptana.deploy,3.0.3.1332170057,"com.aptana.deploy",1338540178176
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338540179816
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1338540182389
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1338540182827
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1338540183002
error,log,,,"(Build 3.0.0.1332781285) [ERROR]  Resource '/12.01' is not open.",1338540183414
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338540183565
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1338540183608
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1338540183608
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338540185286
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338540207185
started,bundle,com.aptana.ui.io,3.0.0.1333562877,"com.aptana.ui.io",1338540213943
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338540215165
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1338540218190
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.openLocalFile",1338540218218
